product_number,ingredients_smiles,review
10322138,"['O', 'C(C(CO)O)O', 'CCCCCCCCCCCCCC(C)C', 'CC1=C(C(=C(C2=C1OC(CC2)(C)CCCC(C)CCCC(C)CCCC(C)C)C)OC(=O)C)C', 'CCCCCCCCCCCCCCCCCCOCCO', 'O1[SiH2]O[SiH2]O[SiH2]O[SiH2]O[SiH2]1', 'C=CC(=O)N', 'CCCCCCCCCCCCCCCCCCO', 'CCCCCCCCCCCCCCCCCCCCCCO', 'CCCCC(CC)COC(=O)C1=CC=CC=C1O', 'CCCCCCCCCCCCCCCCO', 'CC1(C(=O)N(C(=O)N1CO)CO)C', 'C(CO)O', 'CCCCCCCCCCCCCCCCCCOCCO', 'C(CN(CC(=O)O)CC(=O)O)N(CC(=O)O)CC(=O)O', 'CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCO', 'CCCCCCCC[Si](OCC)(OCC)OCC', 'CCCCCCCCC=CCCCCCCCCOCCOCCOCCOP(=O)(O)O', 'CCCCNC(=O)OCC#CI']",4.4
19529358,"['O', 'CC(CC(C)(C)O)O', 'C(C(CO)O)O', 'C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C', 'CC1(C(=O)N(C(=O)N1CO)CO)C', 'CCCCCCCCCCCC(=O)OCCOCC(C1C(C(CO1)OCCO)OCCO)OCCO', 'C=CC(=O)O', 'CC1=C(C(=C(C2=C1OC(CC2)(C)CCCC(C)CCCC(C)CCCC(C)C)C)OC(=O)C)C', 'C(CN(CC(=O)O)CC(=O)O)N(CC(=O)O)CC(=O)O', '[OH-].[Na+]', 'CCCCNC(=O)OCC#CI']",4.7
40720584,"['O', 'CCCCCCCCCCCCCCCCCC(=O)OCC(CO)O', 'CC(CO)O', 'CCCCCCCCCCCCCCCCO', 'C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C', 'CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+]', 'C(CN(CC(=O)O)CC(=O)O)N(CC(=O)O)CC(=O)O', 'C(C(C1C(=C(C(=O)O1)O)O)O)O', '[O-]S(=O)(=O)S(=O)(=O)[O-].[Na+].[Na+]', 'CCCOC(=O)C1=CC=C(C=C1)O']",3
440899974,"['O', 'CCCCCCCCCCCCOCCOS(=O)(=O)[O-].[Na+]', 'CC(C)C', 'CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+]', 'CCCCCCCCCCCC(=O)NCCC[N+](C)(C)CC(=O)[O-]', 'CCC', '[Na+].[Cl-]', 'C1=CC=C(C=C1)C(=O)[O-].[Na+]', 'C(C(=O)O)C(CC(=O)O)(C(=O)O)O', 'C(CN(CC(=O)O)CC(=O)O)N(CC(=O)O)CC(=O)O', 'CN1C(=O)C=C(S1)Cl']",4.6
47510040,"['O', 'C1=CC(=CN=C1)C(=O)N', 'CCCCCCCCCCCCCCCCCC(=O)O', 'CCCCCCCCCCCCCC(=O)OC(C)C', 'CCCCCCCCCCCCCCCCCC(=O)OCC(CO)O', 'CCCCC(CC)COC(=O)C=CC1=CC=C(C=C1)OC', 'C(C(CO)O)O', 'C(CO)N(CCO)CCO', 'C=CC(=O)O', 'CCCCCCCCCCCCCCCCO', 'CC(C)(C)C1=CC=C(C=C1)C(=O)CC(=O)C2=CC=C(C=C2)OC', 'C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C', 'COC(=O)C1=CC=C(C=C1)O', 'C1CC(=O)NC1C(=O)[O-].[Na+]', 'C(CC(=O)O)C(C(=O)O)N', 'CCCOC(=O)C1=CC=C(C=C1)O', 'C(CN(CC(=O)O)CC(=O)O)N(CC(=O)O)CC(=O)O']",4.5
553167245,"['O', 'CCCCCCCCCCCCOCCOS(=O)(=O)[O-].[Na+]', 'CC(C)C', 'CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+]', 'CCCCCCCCCCCC(=O)NCCC[N+](C)(C)CC(=O)[O-]', 'CCC', '[Na+].[Cl-]', 'C1=CC=C(C=C1)C(=O)[O-].[Na+]', 'C(C(=O)O)C(CC(=O)O)(C(=O)O)O', 'C(CN(CC(=O)O)CC(=O)O)N(CC(=O)O)CC(=O)O', 'CN1C(=O)C=C(S1)Cl']",4.7
699621947,"['O', 'CCCCCCCCCCCCOCCOS(=O)(=O)[O-].[Na+]', 'CC(C)C', 'CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+]', 'CCCCCCCCCCCC(=O)NCCC[N+](C)(C)CC(=O)[O-]', 'CCC', '[Na+].[Cl-]', 'C1=CC=C(C=C1)C(=O)[O-].[Na+]', 'C(C(=O)O)C(CC(=O)O)(C(=O)O)O', 'C(CN(CC(=O)O)CC(=O)O)N(CC(=O)O)CC(=O)O', 'CN1C(=O)C=C(S1)Cl']",4.7
