product_number,ingredients_smiles,review
10849836,"['O', 'C(C(CO)O)O', 'CCCCCCCCCCCCCCCCOC(=O)CCCCCCCCCCCCCCC', 'CCCCCCCCCCCCCCCCO', 'CCCCCCCCCCCCCCCCCC(=O)O', 'C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C', 'CCCCCCCCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCCCCC', '[OH-].[K+]', 'CC1(C(=O)N(C(=O)N1CO)CO)C', 'CCCCNC(=O)OCC#CI', 'C(CN(CC(=O)[O-])CC(=O)[O-])N(CC(=O)[O-])CC(=O)[O-].[Na+].[Na+].[Na+].[Na+]', 'C=CC(=O)O', 'C=CC(=O)O']",4.3
10849837,"['O', 'C(C(CO)O)O', 'CCCCCCCCCCCCCC(C)C', 'C1=CC(=CN=C1)C(=O)N', 'C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C', 'CC(C)CCCCCCCCCCCCCCC(=O)OC(C)C', 'CC1=C(C(=C(C2=C1OC(CC2)(C)CCCC(C)CCCC(C)CCCC(C)C)C)OC(=O)C)C', 'C=CC(=O)N', 'CC(C)(CO)C(C(=O)NCCCO)O', 'CCOC(=O)C1=CC=C(C=C1)O', 'CCCCCCCCCCCCCCCCCC(=O)OCC(C1C(C(CO1)O)O)O', 'O=[Ti]=O', 'C[N+](C)(C)CC(COCCOC1C(C(C(OC1O)COCO)OC2C(C(C(C(O2)CO)OCCO)OCCO)O)O)O.[Cl-]', 'CCCOC(=O)C1=CC=C(C=C1)O', 'CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCO', 'CCCCCCCCCCCCCCCCCC(=O)O', 'C(CN(CC(=O)O)CC(=O)O)N(CC(=O)O)CC(=O)O', '[OH-].[Na+]', 'CCCCCCCCCCCCCCCCCCO', 'C1=CC=C(C=C1)CO', 'CCCCCCCCCCCCCCCCO', 'CCCCCCCCCCCCCCCCCCO.CCCCCCCCCCCCCCCCO']",3.9
108873982,"['O', 'CCCCCCCCCCCCCCCC(=O)OC(C)C', 'C(C(CO)O)O', 'C1=CC(=CN=C1)C(=O)N', 'CC1=C(C(=C(C2=C1OC(CC2)(C)CCCC(C)CCCC(C)CCCC(C)C)C)OC(=O)C)C', 'C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C', 'CCCCCCCCCCCCCCCCCCO', 'CCCCCCCCCCCCCCCCO', 'CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+]', 'CCCCCCCCCCCCCCCCCCOCCO', 'C1=CC=C(C=C1)OCCO', 'CCCCCCCCCCCCCCCCCCOCCO', 'C=CC(=O)O', 'CCCCCCCCCCOC1C(C(C(C(O1)CO)O)O)O', '[OH-].[Na+]', 'C=CC(=O)O', 'C1=CC=C(C=C1)C(=O)[O-].[Na+]', 'CCCCCCCCCCCCOC1C(C(C(C(O1)CO)O)O)O', 'C(C(=O)O)C(CC(=O)O)(C(=O)O)O', 'CCCCCCCCCCCCCCCCCC(=O)O', 'CCCCCCCCCCCCCCCC(=O)O', 'C(CN(CC(=O)O)CC(=O)O)N(CC(=O)O)CC(=O)O', 'C1CCCCCCCOC(=O)CCCCCC1']",4.5
10977933,"['O', 'C(C(CO)O)O', 'C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C', 'C1=CC(=CN=C1)C(=O)N', 'CCCCCCCCCCCCCC(C)C', 'CC(C)CCCCCCCCCCCCCCC(=O)OC(C)C', 'CC(C)(CO)C(C(=O)NCCCO)O', 'CC1=C(C(=C(C2=C1OC(CC2)(C)CCCC(C)CCCC(C)CCCC(C)C)C)OC(=O)C)C', 'CCCCCCCCCCCCCCCC(=O)NC(CCCCN)C(=O)NC(C(C)O)C(=O)O', 'C1=C(NC=N1)CC(C(=O)O)NC(=O)CCN', 'CCC(C)C(C(=O)NCC(=O)NC(C(C)C)C(=O)N1CCCC1C(=O)NC)NC(=O)C(CC(C)C)NC(=O)C', 'CCCCCCCCCCCCCCCCCCO', 'C=CC(=O)N', 'CCCCCCCCCCCCCCCCCCO.CCCCCCCCCCCCCCCCO', 'CCCCCCCCCCCCCCCCO', 'C1=CC=C(C=C1)CO', 'CCCCCCCCCCCCCCCCCCCCCCO', 'CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCO', 'CCCCCCCCCCCCCCCCCC(=O)O', 'CCCCCCCCCCCC(=O)OCCOC(=O)CCCCCCCCCCC', 'CCCCCCCCCCCC(=O)OCCO', 'CCCCNC(=O)OCC#CI', 'C(COCCOCCOCCO)O', 'CCCCCCCCCCOC1C(C(C(C(O1)CO)O)O)O', 'O=[Ti]=O', 'CC(C(=O)O)O', 'C(C(=O)O)C(CC(=O)O)(C(=O)O)O', 'COC(=O)C1=CC=C(C=C1)O', 'CCOC(=O)C1=CC=C(C=C1)O', 'CCCOC(=O)C1=CC=C(C=C1)O', 'C(CN(CC(=O)O)CC(=O)O)N(CC(=O)O)CC(=O)O', 'C=CC(=O)[O-].[NH4+]']",4.6
114959745,"['O', 'C(C(CO)O)O', 'C(C(C(C(C(CO)O)O)O)O)O', 'CCCCCCCCCCCCCC(=O)N(C)CC(=O)[O-].[Na+]', 'CCOC(=O)C=C.CC(=C)C(=O)O.CC(=C)C(=O)OC', 'CCCCCCCCCCCCCOCCOCCOCCOS(=O)(=O)[O-].[Na+]', 'C1=CC=C(C(=C1)C(=O)O)O', 'CCCCCCCCCCCCOCCOS(=O)(=O)[O-].[Na+]', 'CCCCCCCCCCCCCCCCCC(=O)OCCOC(=O)CCCCCCCCCCCCCCCCC', 'CCCCCCCCCCCC(=O)O', 'C(C(=O)O)C(CC(=O)O)(C(=O)O)O', 'C[N+](C)(C)CC(COCCOC1C(C(C(OC1O)COCO)OC2C(C(C(C(O2)CO)OCCO)OCCO)O)O)O.[Cl-]', 'C(CN(CC(=O)O)CC(=O)O)N(CC(=O)O)CC(=O)O', 'CC1CCC(C(C1)O)C(C)C', 'CC1=CC(=C(C(=C1)C(C)(C)C)O)C(C)(C)C', 'CN1C(=O)C=C(S1)Cl', 'CN1C(=O)C=CS1', 'C1=CC(=CC=C1N=NC2C(=NN(C2=O)C3=CC=C(C=C3)S(=O)(=O)[O-])C(=O)[O-])S(=O)(=O)[O-].[Na+].[Na+].[Na+]', 'CC1=CC(=C(C=C1S(=O)(=O)[O-])OC)N=NC2=C(C=CC3=C2C=CC(=C3)S(=O)(=O)[O-])O.[Na+].[Na+]']",4.8
119891779,"['C1(C(=O)NC(=O)N1)NC(=O)N', 'C=CC(=O)O', 'CC(C)OC(=O)CCCCCCCCC(=O)OC(C)C', 'C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C', 'C(CN(CC(=O)O)CC(=O)O)N(CC(=O)O)CC(=O)O', 'C(C(CO)O)O', 'CC1(C2CCC3(C(C2(CCC1O)C)C(=O)C=C4C3(CCC5(C4CC(CC5)(C)C(=O)O)C)C)C)C', 'CCCCCCCCCCCCCCCC(C(CO)NC(=O)C(CCCCCCCCCCCCCC)O)O', 'CCCCCCCCCCCC(=O)N(C)CC(=O)OC(C)C', 'CC(C)(CO)C(C(=O)NCCCO)O', 'C(CCO)CCO', 'C1=CC=C(C=C1)OCCO', 'CC(=C)C(=O)OC', 'CC=CC=CC(=O)[O-].[K+]', 'O=[Si]=O', 'CCCCCCCCCCCCCCCCCC(=O)OC(=O)C(CCC(=O)[O-])N.[Na+]', 'CC1=C(C(=C(C2=C1OC(CC2)(C)CCCC(C)CCCC(C)CCCC(C)C)C)OC(=O)C)C', 'C(CO)N(CCO)CCO', 'O']",3.9
12024546,"['O', 'CC(CO)O', 'C(C(CO)O)O', 'C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C', 'C[Si]1(O[Si](O[Si](O[Si](O[Si](O1)(C)C)(C)C)(C)C)(C)C)C', 'CCCCCCCCCCCCCCCCCC(=O)O', 'CCCCCCCCCCCCCCCCOP(=O)([O-])[O-].[K+].[K+]', 'CCCCCCCCCCCCCCCCCC(=O)OCC(CO)O', '[OH-].[OH-].[OH-].[Al+3]', 'C(CN(CC(=O)O)CC(=O)O)N(CC(=O)O)CC(=O)O', 'C(CO)N(CCO)CCO', 'C1=CC=C(C=C1)OCCO', 'CCOC(=O)C1=CC=C(C=C1)O', 'C1=CC(=CC=C1OCC(CO)O)Cl', 'CCCCCCCCCCCCCCCCO', 'C=CC(=O)O', 'COC(=O)C1=CC=C(C=C1)O']",4.4
12519628,"['O', 'CC(C(=O)O)O', 'C(C(CO)O)O', 'CCCCCCCCCCCCCCCCO', 'CCCCCCCCCCCCCCCC(=O)OC(C)C', 'CCCCCCCCCCCCCCCCCCOCCO', 'C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C', 'CCCCC(CC)COC(=O)C=CC1=CC=C(C=C1)OC', 'CCCCCCCCCCCCCCCCCCOCCO', 'C=CC(=O)OCCO', 'CCCCCCCCCCCCCC(C)C', '[O-][Si]([O-])([O-])[O-].[Mg+2].[Al+3]', 'CCCCCCCCCCCCCCCCCC(=O)O', 'COC(=O)C1=CC=C(C=C1)O', 'CC(COCC1C(C(C(C(O1)OC2C(OC(C(C2OCC(C)O)OCC(C)O)OCC(C)O)COCC(C)O)OCC(C)O)OCC(C)O)OCC(C)O)O', 'O=[Ti]=O', 'C(CN(CC(=O)O)CC(=O)O)N(CC(=O)O)CC(=O)O', 'COC1=CC(=C(C=C1)C(=O)C2=CC=CC=C2)O', 'CCCOC(=O)C1=CC=C(C=C1)O', 'CC1=C(C(=C(C2=C1OC(CC2)(C)CCCC(C)CCCC(C)CCCC(C)C)C)OC(=O)C)C']",4
15056161,"['O', 'C(C(CO)O)O', 'C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C', 'C=CC(=O)O', 'C1=CC(=CC=C1OCC(CO)O)Cl', '[OH-].[Na+]', 'C(CN(CC(=O)[O-])CC(=O)[O-])N(CC(=O)[O-])CC(=O)[O-].[Na+].[Na+].[Na+].[Na+]', 'CC1=C(C(=C(C2=C1OC(CC2)(C)CCCC(C)CCCC(C)CCCC(C)C)C)OC(=O)C)C', 'C(C1C(C(C(C(O1)OC2=C(C(OC2=O)C(CO)O)O)O)O)O)O', 'CC1CCC(C(C1)OCC(CO)O)C(C)C', 'C(C(C(C(C(C(=O)[O-])O)O)O)O)O.C(C(C(C(C(C(=O)[O-])O)O)O)O)O.[Mg+2]', 'C(C(=O)[O-])C(CC(=O)[O-])(C(=O)[O-])O.[Na+].[Na+].[Na+]', 'C1=CC=C(C=C1)COC(=O)C2=CC=CC=C2O', 'CC(=CCCC(C)(C=C)O)C', 'C(C(C(C(C(C(=O)[O-])O)O)O)O)O.C(C(C(C(C(C(=O)[O-])O)O)O)O)O.[Ca+2]', 'CC(CC1=CC=C(C=C1)C(C)(C)C)C=O', 'C1=CC(=CC=C1N=NC2C(=NN(C2=O)C3=CC=C(C=C3)S(=O)(=O)[O-])C(=O)[O-])S(=O)(=O)[O-].[Na+].[Na+].[Na+]', 'CCN(CC1=CC(=CC=C1)S(=O)(=O)[O-])C2=CC=C(C=C2)C(=C3C=CC(=[N+](CC)CC4=CC(=CC=C4)S(=O)(=O)[O-])C=C3)C5=CC=CC=C5S(=O)(=O)[O-].[NH4+].[NH4+]']",4.4
15056162,"['O', 'C(C(CO)O)O', 'CCCCC(CC)COC(=O)C1=CC=CC=C1O', 'C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C', 'CCCCC(CC)COC(=O)C(=C(C1=CC=CC=C1)C2=CC=CC=C2)C#N', 'CC(C)(C)C1=CC=C(C=C1)C(=O)CC(=O)C2=CC=C(C=C2)OC', '[H]', 'CC(C)CCCCCCCCCCCCCCC(=O)OC(C)C', 'CCCCCCCCCCC(CCCCCCCC)CO', 'CC(C)(CS(=O)(=O)[O-])NC(=O)C=C.[NH4+]', 'CCCCCCCCCCCCCCCCCCCCO', 'CCCCCCCCCCCCCCCCCCCCCCO', 'C1=CC=C(C=C1)CO', 'C=CC(=O)O', 'CCCCCCCCCCCCCCCCCCO.CCCCCCCCCCCCCCCCO', 'CCCCCCCCCCCCCCCCO', 'O=[Ti]=O', 'C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C', 'C(CN(CC(=O)O)CC(=O)O)N(CC(=O)O)CC(=O)O', 'CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCO', 'CC(=CCCC(C)(C=C)O)C', 'CN1C(=O)C=CS1', 'COC(=O)C1=CC=C(C=C1)O', 'CC(C)(CO)C(C(=O)NCCCO)O', 'C1=CC=C(C=C1)OCCO', 'C=CC(=O)N', 'CCCCCC=CCC=CCCCCCCCC(=O)OCC=C(C)C=CC=C(C)C=CC1=C(CCCC1(C)C)C', 'O=[Si]=O', 'C1=CC=C(C=C1)C(=O)[O-].[Na+]', 'CC1=C(C(=C(C2=C1OC(CC2)(C)CCCC(C)CCCC(C)CCCC(C)C)C)OC(=O)C)C']",4.1
