Eqn,Compound Number,Name,Formula,CAS,Mol. Wt.,C1,C2,C3,C4,"Tmin, K",Density at Tmin,"Tmax, K",Density at Tmax
105,335,"2,4,6-Trinitrotoluene",C7H5N3O6,118-96-7,227.01311,0.37378,0.21379,828,0.29905,354.00,6.4521,828.00,1.7484
105,336,Undecane,C11H24,1120-21-4,156.030826,0.36703,0.24876,639,0.28571,247.057,4.9453,639.00,1.4754
105,337,1-Undecanol,C11H24O,112-42-5,172.030766,0.33113,0.23676,7039,0.2762,288.045,4.8594,703.090,1.3986
105,338,Vinylacetate,C4H6O2,108-43955,86.08924,0.9591,0.2593,51913,0.27448,180.035,12.287,519.013,3.6988
105,339,Vinylacetylene,C4H4,689-97-4,52.07456,1.273,0.2641,454,0.297,173.015,15.664,454.00,4.8781
105,340,Vinylchloride,C2H3Cl,75-43834,62.49822,1.5115,0.277,432,0.2716,119.036,18.481,432.00,5.5837
105,341,Vinyltrichlorosilane,C2H3Cl3Si,75-94-5,161.048972,0.59595,0.24314,54315 856,0.24856,178.035,8.8236,543.015,2.4511
100,342,Water,H2O,7732-18-5,18.01528,-13.851,0.6438,−0.0019124,0.018211,273.016,55.497,353.015,54.010
119,342,Water,H2O,7732-18-5,18.01528,17.874,35.618,19.655,-9.1306,16.0,55.487,647.096,17.8740
105,343,m-Xylene,C8H10,108-38-3,106.0165,0.68902,0.2686,617,0.27479,225.030,8.648,617.00,2.6413
105,344,o-Xylene,C8H10,95-47-6,106.0165,0.69962,0.26143,6303,0.27365,247.098,8.6229,630.030,2.6761
