fragment,number_of_rel,sum_difficulty,avg_difficulty
ccCC<=O>N,802,513.6489673595642,0.6404600590518257
ccscn,799,570.740521919242,0.7143185505872867
ccc(c)[nH],798,41257800.515382245,51701.50440524091
cccc<-O>c,798,624.4056142025012,0.7824631756923573
cOC(C)C,797,456.3018026109657,0.572524219085277
CCC<=O>,790,41257823.45024079,52225.09297498834
c<-X>cc,790,566.808723334904,0.7174793966264608
ccc[nH]c,787,41257777.89101416,52424.1142198401
cn-c,786,574.870735509547,0.7313877042106196
CCcn,782,621.3763289859397,0.7945988861712784
cnccs,781,599.5316545575241,0.7676461646063049
ccscc,781,578.748756563426,0.7410355397739129
cccnc<=O>,780,512.1202453110965,0.6565644170655083
ccn(c<=O>)C,777,521.5963317379238,0.6712951502418583
CC(c)N,776,531.6061193486861,0.6850594321503687
ncnn,775,640.4612879986983,0.8264016619338042
cCCCN,775,560.8160134109908,0.723633565691601
ncCN,771,521.441603096699,0.6763185513575863
c-c(n)cn,765,435.13863324460044,0.5688086709079744
CN(c)C,755,486.7365611727089,0.6446841869837204
cc-nc,754,557.3580045868824,0.7392015975953348
ccc-nc,749,555.9653533800537,0.7422768402937966
ccccc<=O>,748,493.6472300171295,0.6599561898624726
cncs,746,566.3360301650016,0.7591635793096536
c<-X>cccO,743,428.0085030980705,0.5760545129179953
cncCN,739,493.09887496899734,0.6672515222855173
ncncn,737,615.2293533326184,0.8347752419709884
cc<=O>nc,733,471.9040221832677,0.6437981203045945
cc(c)s,728,544.1153060557222,0.747411134691926
cc(N)cC,725,540.5732496638789,0.7456182753984536
cc(c)CC<=O>,723,464.9936790060374,0.6431447842407156
cn(C)cn,720,488.3849717152682,0.6783124607156503
ccc(c)-n,716,516.4232682621663,0.7212615478521875
cc(c)-n,716,516.4232682621663,0.7212615478521875
cc(C)cC,713,570.5146884695847,0.8001608533935269
CCC(C)O,711,422.2312825283261,0.5938555309821746
c<-X>cn,710,465.2221391972152,0.6552424495735425
cccc<=O>n,707,461.2527979478231,0.6524084836602873
cc(C)cn,696,504.837751844061,0.7253415974770991
coc,694,527.9776681584225,0.7607747379804358
cc(c)c[nH],691,41257687.17151134,59707.21732490787
CNS(<=O>)<=O>,691,532.3194060635673,0.7703609349689831
CC<-O>CN,687,426.47013764283355,0.620771670513586
csccn,686,535.6065922394223,0.7807676271711695
Cc(n)n,686,465.0872989433425,0.6779698235325692
C<=O>CCCC,682,465.799359177715,0.6829902627239223
c<-X>cnc,680,431.52402215738584,0.6345941502314497
cncsc,678,516.0969852697165,0.7612049930231807
C<=O>ccn,678,505.65660172368183,0.745806197232569
CcccN,678,484.85094873203235,0.7151193934100772
ccOc,676,473.51381233596254,0.7004642194318973
cccOc,676,473.51381233596254,0.7004642194318973
cOc,676,473.51381233596254,0.7004642194318973
cc<-CF3>,676,472.46730652772476,0.6989161339167526
c-cnC,675,411.4531274675774,0.6095601888408554
c-cncN,675,403.4807061317983,0.5977491942693308
cnc<=O>,673,426.3533229808975,0.6335116240429383
c[nH]c(c)c,672,41257721.02582249,61395.41819318823
cCOc,670,426.1745249147164,0.636081380469726
cCn,669,523.9386395321781,0.7831668752349448
ccc<=O>nc,669,435.66698869079073,0.6512212088053673
c<=O>nc,663,463.64679485961733,0.699316432669106
CCC<-O>,662,516.5345710393403,0.7802637024763449
nc-cn,662,380.7332924146204,0.5751258193574326
cnc-cn,662,380.7332924146204,0.5751258193574326
cc<-N>n,659,494.76773175470737,0.7507856324047153
CCCCO,658,546.2957842491992,0.8302367541781143
C=C,658,496.06695348637106,0.7539011451160654
ccOcc,655,459.0813077941644,0.7008874928155181
cncCC,654,524.5245127773629,0.8020252488950503
c<-X>cC,651,492.84808529052316,0.7570631110453505
cc(n)-cn,651,367.90534620015245,0.5651387806453955
cc(c)Oc,649,444.04501176241064,0.6841987854582599
cnc(C)n,649,419.38115265149855,0.6461959208805833
C<=O>Cc,649,405.6342931072743,0.6250143191175259
cc<-X>cn,647,413.4701168306822,0.639057367589926
ccncs,645,495.3608233060229,0.7680012764434464
ccc<-CF3>,641,444.56589489192413,0.6935505380529238
ccOCc,638,398.38053498886825,0.6244209012364706
cc<-X>cnc,637,400.05106079933256,0.6280236433270527
ccCOc,636,395.5313742271266,0.6219046764577463
c<-N>ccn,635,459.9337830991422,0.7243051702348696
cc<-C#N>c,634,444.1651707008727,0.7005759790234585
CCCn,633,430.9614949147359,0.680823846626755
ccCn,632,490.50743298033615,0.7761193559815446
c<-X>ccC,630,393.21196510867986,0.6241459763629839
c<=O>nCC,628,425.43455556787956,0.6774435598214643
cccCn,625,484.0075005816802,0.7744120009306883
cCCC,623,499.5720993322625,0.8018813793455257
cNS(<=O>)<=O>,619,518.4538595777728,0.8375668167653842
nc-ccn,618,367.45265432800767,0.5945835830550286
ccC<-O>,617,495.86496973267685,0.8036709395991521
nncN,617,465.8173499104728,0.7549713936960661
ccC(C)C,617,446.94414574337435,0.7243827321610605
cc(c)CO,617,432.14639463612525,0.7003993430083068
c<-X>ccO,617,372.0748513834267,0.603038657023382
ccc(c)s,615,459.1985106789008,0.7466642450063428
c<-X>cc(c)C,615,382.931234897251,0.6226524144670748
nccO,614,425.37545795694945,0.6927939054673444
ccc(c<-X>)N,614,396.0714508996105,0.6450675096084861
C<=O>O,613,41257736.65226546,67304.62749146078
cc(c)nC,613,493.46730657111124,0.8050037627587459
NcncN,611,382.30388443193954,0.6257019385138126
ncccO,606,396.5271100943558,0.6543351651722042
c<-N>cc,602,421.9094992257045,0.700846344228745
c<=O>ncn,596,412.41693733452735,0.6919747270713547
cnncN,594,437.4698222849524,0.7364811822978996
cc<-X>c(c)N,593,372.9174610340843,0.6288658702092483
cccC<-O>,592,457.5871954829627,0.7729513437212209
cn-c(c)c,592,437.2357786085945,0.7385739503523556
cnccO,588,408.7673370812417,0.6951825460565335
cnCCC,587,399.77224321566496,0.681043003774557
c<-X>cc<-X>,585,416.7721603443386,0.7124310433236557
c<-X>ccN,585,407.85728039185835,0.697191932293775
cc(-c)nC,583,359.7037388266825,0.61698754515726
nccN,582,397.8956093625622,0.6836694318944367
nccC<=O>N,579,428.83277813454276,0.7406438309750307
cccco,577,453.1624790212947,0.7853769133817933
cccc-n,575,445.1250686721225,0.774130554212387
cc(O)cn,575,395.9202081097803,0.6885568836691831
CC(C)n,575,363.0162501857577,0.631332609018709
cNS(<=O>)<=O>c,574,475.599420604623,0.8285704191718171
cc<-CF3>c,573,389.9267199521712,0.6805003838606827
ccoc,572,450.92858136675517,0.7883366807111104
c<-X>cc(c)O,572,336.35648215441773,0.5880358079622687
cc<=O>[nH],571,356.25460240860565,0.6239134893320589
NC<=O>N,570,451.31141225808193,0.7917744074703191
ccS(<=O>)<=O>Nc,568,470.8276235543176,0.8289218724547845
CC<-O>CNC,566,342.84935562188394,0.6057409109927279
ccc<-N>n,563,406.56643340489677,0.7221428657280582
cnC(C)C,563,353.00301258749863,0.6270035747557702
cc<-N>c,560,41257598.62623322,73674.28326113075
cc-cnC,560,355.4139031759113,0.6346676842426987
cc<-X>cc,558,369.20491525961876,0.6616575542287074
CcccC,556,425.083400550744,0.7645384901991799
cCNc,556,397.5400479268363,0.7150000861993459
cc(C<=O>)cn,554,411.81011325951414,0.7433395546200616
cc(c)C<-O>,553,437.09005612376234,0.7903979315077077
cc<-X>cc<-X>,553,393.40537108251675,0.7114021176899037
CccCC,549,448.3948729802798,0.8167484025141708
cc<-X>cc<-X>c,549,391.6577080447374,0.7134020182964251
c<-X>cccN,549,354.97076931647985,0.6465769932904916
Ccs,548,445.10800044919756,0.8122408767321123
cc<-N>nc,548,407.45564326421686,0.743532195737622
CCNS(<=O>)<=O>,548,393.8775277997419,0.7187546127732517
Cnn,545,433.6074138672181,0.7956099337013176
ccn-c,545,413.4741521340871,0.7586681690533708
cnncn,542,450.7209199087829,0.8315884131158355
ccnc<-N>,542,386.129849675102,0.7124166968175313
ccc(c)C<-O>,540,415.01115868047924,0.7685391827416282
c-c(n)n,537,363.51562740703525,0.676937853644386
c<-N>nc,536,399.2833560134242,0.7449316343534034
cc<=O>n(c)C,536,347.74680347181084,0.6487813497608411
ccc<-N>,535,41257589.155810714,77116.98907628171
CcnC,535,384.12827000597207,0.7179967663663029
c<=O>ccnC,535,382.60203765584265,0.7151439956183975
cCC<=O>NC,535,315.6959750929504,0.5900859347531783
CNCcn,534,370.2102665546786,0.6932776527241172
NCC<=O>N,532,41257595.18152842,77551.87064197072
C<=O>Ncn,532,445.69319285074323,0.8377691594938782
c<=O>n(c)C,531,379.84726003871026,0.7153432392442755
ccc<-X>cc<-X>,528,358.9322986463853,0.6797960201636085
CNS(<=O>)<=O>c,525,413.0513191041782,0.7867644173412919
c<-X>cccc<-X>,524,354.4300682192715,0.6763932599604418
ccS(<=O>)<=O>NC,522,411.3367232927011,0.7880013856182013
ccc<-CF3>c,522,345.414778376648,0.6617141348211647
cc-c(n)n,521,349.3945855911575,0.670623004973431
ccNS(<=O>)<=O>,520,443.7037190925948,0.8532763828703746
cnCc,520,424.92003181059357,0.8171539073280646
cc(n)cn,520,384.3635292365705,0.739160633147251
cc(-c)cn,519,389.3176251139831,0.7501302988708731
c-nn,518,398.5039283638577,0.7693126030190304
c<-N>c,518,368.75227310168464,0.7118769750997773
ccc<=O>[nH],516,321.83238625855284,0.6237061749196761
cc-nn,515,396.3319547426916,0.7695766111508575
ccc-nn,514,395.9729145515181,0.7703753201391402
cc-ncc,513,395.96142121142225,0.7718546222444879
C<=O>CNC<=O>,512,41257557.46717889,80581.16692808377
ccc(c<-X>)C,512,368.3677524771038,0.7194682665568434
CccC<=O>N,512,337.4499325681276,0.6590818995471243
cc<-SO2CH3>c,512,314.47008043279163,0.6141993758452962
cc(c<-X>)N,511,333.9479139781796,0.6535184226578857
cc(n)CN,510,345.1492353020147,0.6767632064745386
cc<-X>cC,509,393.61250059474514,0.7733055021507763
c<-X>cNc,509,268.17292517707057,0.5268623284421818
c<=O>ccc,506,332.82456674897594,0.6577560607687272
CNC<=O>N,504,377.0129253400469,0.7480415185318391
CNc(n)n,502,363.05902943428697,0.7232251582356314
cscC,501,401.0617996580684,0.8005225542077214
cccc<-CF3>,498,360.96626589932384,0.72483185923559
cn(C)n,497,388.177142259056,0.7810405276842173
ccc<-SO2CH3>c,497,302.8195496454311,0.6092948685018734
c<=O>ccnc,496,346.2228353493895,0.6980299099786079
C<-O>CN(C)C,495,292.6067688278282,0.5911247855107641
CNC<=O>CN,494,41257534.408857405,83517.27613129029
cc(c<=O>)c,494,338.20241473378263,0.6846202727404507
cc-ccC,493,401.26946267530764,0.8139340013697923
c<-X>cc(c)N,493,343.998073516801,0.6977648550036532
c<-N>cn,490,369.2248792404886,0.7535201617152828
C<=O>NCC<=O>N,489,41257540.47030408,84371.24840552981
cc(c)Cn,489,395.79123110563813,0.8093890206659267
c<-N>ncn,489,375.5733532881556,0.768043667255942
cc(c<-X>)C,489,352.53382283537707,0.7209280630580308
ccc<-X>cN,489,337.5921404524658,0.6903724753629158
C<=O>CNC,488,361.3922382788074,0.740557865325425
cc<-C#N>,487,347.45307845617265,0.713456013257028
C<=O>C(C)C,487,327.28542378762216,0.6720439913503535
cccc<-SO2CH3>c,486,292.7677364551549,0.6024027499077261
ccS,485,410.828542376567,0.8470691595393134
C(<-X>)(<-X>)<-X>C,485,337.0238550216477,0.694894546436387
c<-OMe>ccn,484,269.9514377386076,0.5577509044186107
ccCnc,483,391.4888252587516,0.810535870100935
c<-X>cccn,483,371.5707636500805,0.7692976473086552
c<-N>ccnc,483,370.00443720002215,0.7660547354037726
Cc[nH],482,361.3605394032088,0.7497106626622589
ccc(c<=O>)c,482,313.4566652054166,0.6503250315465074
cccNS(<=O>)<=O>,480,409.10199670400044,0.8522958264666676
Ccnn,479,382.77534987606657,0.7991134652945022
cccoc,479,379.8941781464303,0.7930984929988106
ccc<-N>nc,478,354.7746447525595,0.742206369775229
cccS,476,402.08039275386295,0.8447067074660987
c<-OMe>cccn,476,302.28808258487845,0.6350589970270556
ccNS(<=O>)<=O>c,475,400.84928011944527,0.8438932213040953
cc(c)-nn,474,356.6237236258443,0.7523707249490387
COccn,474,337.90554207406154,0.7128808904516066
cc(C<=O>)cC,472,300.49176921807697,0.6366351042755868
ccCNc,469,368.15170215677017,0.7849716463897018
CCC(C<=O>)C,469,305.0434918000648,0.6504125624734858
c<-OMe>cN,466,327.04075303097153,0.7018041910535869
ccc<-CF3>cc,464,297.02236813608783,0.6401344140863962
CNCC<=O>N,462,338.4842746441359,0.7326499451171773
ccn(C)n,461,352.67484318006876,0.765021351800583
cnnC,460,350.3175756173643,0.7615599469942702
cccc<-N>,459,41257534.22597305,89885.69548142276
CCC<=O>Nc,459,400.0382697906508,0.8715430714393264
cCCCC,459,367.54011139505883,0.8007409834315007
C=CC,457,353.22395539720833,0.7729189396000182
CCncn,457,302.1227194223699,0.6611000424997153
c<-X>ccOC,457,260.11042997270835,0.569169431012491
cCCNC<=O>,455,41257556.29789547,90675.94790746257
c<=O>ccnc<=O>,455,310.8244023147037,0.6831305545378104
c<-SO2CH3>cccc,455,272.3360707364059,0.5985408148052876
CccO,454,321.45801083006836,0.708057292577243
n[nH],454,294.0126023990065,0.6476048510991332
c<-O>ccc,453,386.0154544024426,0.8521312459215068
cc(C)s,453,349.4175790904509,0.7713412341952558
c<-OMe>cccN,453,312.1911614409935,0.6891637117902726
ncS,451,323.2588107454447,0.7167601125176157
ccc<-SO2CH3>cc,450,276.8956263464257,0.6153236141031682
ccc<-N>c,448,41257524.01204016,92092.68752687536
C<-O>CO,448,325.86701358061646,0.7273817267424475
cc(c)c<=O>n,448,300.2084948134767,0.6701082473515105
cnc[nH]c,445,390.34795735759883,0.877186421028312
CCN(C)C<=O>,444,280.9654116261999,0.6328049811400899
cc(s)cn,443,319.17111596344444,0.7204765597368948
[nH]cccN,443,233.88277874606942,0.527952096492256
Cnc(C)n,442,297.51995918622407,0.6731220796068418
CcccO,440,307.0257999214211,0.6977859089123206
cnccN,440,294.228433780801,0.6687009858654569
cn(c<=O>)C,440,269.5779056685547,0.6126770583376243
ccocc,439,340.78463110285645,0.7762747861112903
C<-O>C,438,356.0234404834787,0.8128389052134216
c<=O>c(c)c,435,286.30198751784195,0.6581654885467632
cc<-X>cNc,435,222.2787873174997,0.5109857179712637
c<-O>cc,434,398.2888750564096,0.917716301973294
cn(c)CC,434,288.72337065086066,0.6652612226978356
ccc<-OMe>,433,302.736492692029,0.6991604912056097
cc(c)o,432,345.1000471457555,0.7988427017262859
C<=O>cn,432,341.1409118659896,0.7896780367268278
cc<-OMe>cN,432,300.05654959611167,0.6945753462872956
ncO,430,303.2784806005048,0.7052987920941972
CS(<=O>)<=O>,430,276.96506770644214,0.6441048086196329
cc<-OMe>ccc,430,273.1895912248017,0.6353246307553527
cncnn,429,364.52564307040757,0.8497101237072437
c<-X>cncn,428,241.3498033226286,0.5639014096323098
CCNC<=O>N,427,326.96540826271143,0.7657269514349214
cc<-X>ccC,426,259.0216240487343,0.608031981335057
C<-O>CNC<=O>,423,41257477.45445015,97535.40769373559
cncNC<=O>,423,347.8952343740809,0.8224473625864798
csc(c)C,423,328.06651811413053,0.7755709648088193
cnn(c)C,423,325.2913871428295,0.7690103714960508
