fragment,number_of_rel,sum_difficulty,avg_difficulty
C<-O>CN,299,965.0205451623727,3.2274934620815143
ccc[nH],298,923.9659735846304,3.100556958337686
CN(C)cn,296,871.0651609104763,2.942787705778636
cc(c)S(<=O>)<=O>,294,975.0485382072984,3.316491626555437
ccnc-c,294,929.8360551788309,3.1627076706762955
cccc[nH],294,900.8084817332261,3.0639744276640344
CCCOc,294,825.6570243188104,2.808357225574185
ccc(c)S(<=O>)<=O>,293,969.6351856514412,3.3093351046124275
cc<-O>,293,881.8111074009705,3.0095942232115034
c<-X>ccc,292,807.9813027914637,2.7670592561351497
cccc<-OMe>c,291,919.9378956347437,3.1612986104286724
CC<=O>,289,1022.3785458569031,3.5376420271865157
COCCN,289,802.6151938854671,2.7772152037559414
cCC,284,946.8663464877135,3.334036431294766
cc(n)n,283,911.2260444011906,3.2198800155519103
c<=O>nC,283,811.7091686758874,2.8682302780066693
ccNcc,283,729.1822805070065,2.576615832180235
cS(<=O>)<=O>N,282,950.08124649359,3.3690824343744326
ccS(<=O>)<=O>N,280,943.5948536318077,3.369981620113599
cc<-O>c,280,914.2945389635,3.2653376391553572
cccnn,279,881.260633260558,3.1586402625826455
cnCC,274,825.2346145249245,3.0118051624997246
cncc-c,274,732.6459579855452,2.6738903576114788
cCN(C)C,273,763.6302245464141,2.7971803096938244
C<=O>NC(C)C,272,823.0658827824849,3.025977510229724
NCCCN,272,793.7965399737768,2.9183696322565322
cc-ccn,272,755.4419462719067,2.777360096587892
cC<=O>Nc,269,789.9478827396168,2.9366092295153043
cc<=O>,268,746.1484256876045,2.7841359167447925
C<=O>NCCN,267,750.3943099986433,2.810465580519263
co,266,857.9282240351533,3.225294075320125
C<=O>N(C)C,266,749.8824667632117,2.819107017906811
cNCCN,266,722.7192075778893,2.716989502172516
cccS(<=O>)<=O>N,265,896.2193442433897,3.381959789597697
CC<=O>Nc,263,916.7523035241888,3.485750203514026
ccnCC,263,788.9632185203253,2.999860146465115
CC(C)O,261,718.8677982249806,2.754282751819849
ccc<=O>,259,694.7744907971331,2.6825269914947225
ccc(-c)n,256,796.9083927741995,3.1129234092742166
Cncn,255,784.0361742761467,3.074651663828026
ccnnc,254,814.7735381540367,3.207769835252113
cc<=O>n,253,715.9361673756721,2.8297872228287435
NCCCO,253,676.4743675294123,2.673811729365266
c<-X>cccC,252,751.6473699029985,2.9827276583452322
CCCNc,251,810.2041339706632,3.2279049162177818
ccc<-O>cc,250,791.8568775666317,3.167427510266527
ccc<-O>,249,752.1725734679114,3.020773387421331
cc(c)cN,248,709.0408554078606,2.8590357072897605
c<=O>ccn,246,667.4662566557698,2.713277466080365
cc<-X>ccc,243,661.9868448199717,2.72422569884762
C<=O>CC,242,783.6412965904966,3.2381871759937875
CCNCc,240,705.1559144023516,2.938149643343132
cc(n)Nc,240,571.4143821970583,2.38089325915441
ccNC<=O>C,239,817.6241969206957,3.421021744438057
cn(c)C,239,793.9067595544274,3.32178560483024
ccNC<=O>c,239,675.7551757193534,2.8274275134700977
c<-N>n,238,814.463786594764,3.422116750398168
cCCNC,238,776.8866794295271,3.264229745502215
cncnC,237,733.2330134537751,3.093810183349262
ccc<=O>n,237,676.7978058341965,2.855686944448087
c<-X>c<-X>,237,645.121170981663,2.722030257306595
ccnc<=O>,236,660.1052040793379,2.79705594948872
cc(c)S(<=O>)<=O>N,235,789.7807583951773,3.3607691846603287
ccC<=O>Nc,235,692.2650242570054,2.9458086138595974
cCO,234,682.8261415342147,2.9180604339069003
CCNC<=O>c,233,823.2324986452096,3.533186689464419
cCNC<=O>,233,783.3045415238925,3.361822066626148
ccn(c)C,231,780.0154376465497,3.37669020626212
ccccS(<=O>)<=O>,231,766.1303293800632,3.316581512467806
cnc(c)n,231,763.9567144414553,3.3071719239889843
c-cccn,231,662.1148067694,2.8662978648025974
cc<-X>c<-X>,231,618.5305187501311,2.677621293290611
cnccC,230,745.3461345763768,3.2406353677233772
ccc<-O>c,230,742.7840059305203,3.229495677958784
CC<=O>N(C)C,229,607.3317642791544,2.6521037741447793
cc<-X>c<-X>c,228,612.4097517192555,2.6860076829791906
ccCO,225,644.330895317963,2.863692868079836
c<-X>cN,225,629.2953194082953,2.7968680862590904
c<=O>c,225,627.2581001277024,2.787813778345344
ccc<-X>c<-X>,224,590.851887952235,2.637731642643906
nccs,223,739.874195429158,3.317821504166628
ccc<-X>c<-X>c,223,588.5513294554291,2.6392436298449735
cco,222,743.3316633597021,3.348340825944604
cCc,222,663.7067561526509,2.9896700727596888
CC(C)CN,221,660.518217553867,2.988770215175869
ccCc,221,659.54862730306,2.984382928973122
cccc<-X>c<-X>,221,589.6824511690763,2.668246385380436
cNCCO,220,611.784846420011,2.7808402110000503
cccCc,219,655.026279356438,2.9909875769700363
C<-O>CNC,218,679.9056416301481,3.118833218486918
ccc(n)n,218,675.2035936041088,3.097264190844536
CCC<=O>NC,218,653.67218113748,2.9984962437499085
cc[nH]cc,218,652.3173974267506,2.9922816395722505
ncs,216,718.7017434226549,3.327322886215995
cc<=O>nC,215,616.570004076092,2.8677674608190324
cccc<-O>,214,652.1032280564531,3.0472113460581918
cNc(n)n,213,553.0095553565494,2.5962889922842693
CccN,211,637.6511413070629,3.0220433237301556
ccCcc,210,627.8718125067602,2.989865773841715
cCNCC,210,604.0432415327166,2.8763963882510315
CccC,208,688.2371426175965,3.3088324164307528
c-n,208,662.3833803434555,3.1845354824204595
cccCO,208,581.4176316162635,2.79527707507819
cccsc,206,686.4903140236589,3.3324772525420334
ccCNC<=O>,206,665.9331320844236,3.2326851072059397
cc(c)Cc,203,612.7467518511595,3.0184569056707367
c<=O>cc,202,598.3723643547746,2.962239427498884
ccc<=O>nC,201,578.782123254787,2.879513051018841
C<=O>CN,200,712.7738452709043,3.5638692263545213
cc[nH]c,200,666.4243049850212,3.332121524925106
CCCC<=O>N,200,653.0477794827619,3.2652388974138096
c<-O>cccc,200,620.4944649449872,3.102472324724936
CC<-O>C,200,599.8440119970169,2.9992200599850842
cc-n,199,643.4933024759817,3.2336346858089535
Cnccn,199,591.3280117550182,2.971497546507629
cccc<=O>,198,560.3768929608019,2.8301863280848583
c<=O>[nH],198,528.1250906273534,2.667298437511886
ccc-n,197,642.1006512691528,3.259394168878948
cc(C)cN,197,591.9581293258569,3.004863600638868
cC<=O>N(C)C,197,541.1929658200386,2.747172415330145
cc(c)[nH],194,652.6079300817802,3.363958402483403
ccco,194,651.78853361563,3.3597347093589174
c-cncn,194,598.248320418818,3.0837542289629796
cC<=O>NCC,194,535.9061392991717,2.762402779892638
cc<-X>cN,194,534.6824254071142,2.7560949763253313
cccc<-O>c,193,624.4056142025012,3.235262249753892
cc(c)cC,192,697.1467067815917,3.6309724311541234
ccCC<=O>,191,577.0076022166616,3.0209822105584374
c<-X>cc,191,566.808723334904,2.967584938926199
