SMILES,pKa
CC1CCC(N2CCN(c3ccccc3F)CC2)CC1,7.4
Cc1ccc(-n2ncc(C(=O)Nc3nccs3)c2C2CCNCC2)cc1C,9.5
Cc1cccc(-n2ncc(C(=O)Nc3nccs3)c2C2CCNCC2)c1,9.5
CC1CCN(CC(=O)Nc2nc(-c3ccccc3)cs2)CC1,10.5
COc1ccc2nc(NC(=O)CN3CCC(C)CC3)sc2c1,10.0
CC1CCN(CC(=O)Nc2ncc(Cc3cccc4ccccc34)s2)CC1,10.6
Cc1cnc(NC(=O)CN2CCCCC2)s1,10.6
CCc1c2c(nc3ccc(OC(=O)N4CCC(N5CCCCC5)CC4)cc13)-c1cc3c(c(=O)n1C2)COC(=O)[C@]3(O)CC,10.9
CCCCC1CCN(CCCC(=O)c2ccccc2C)CC1,7.85
CCCCNc1ccc(C(=O)OCCN(C)C)cc1,8.6
CCCCOc1ccc(C(=O)CCN2CCCCC2)cc1,9.0
CCCNCC(O)COc1ccccc1C(=O)CCc1ccccc1,8.8
CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1OC,9.4
CCN(CC)CCNC(=O)c1ccc(N)cc1,9.35
CCN(CC)CCOC(=O)c1ccc(N)cc1Cl,9.0
CCN1CCCC1CNC(=O)c1cc(S(=O)(=O)CC)c(N)cc1OC,9.3
CCOC(=O)c1csc(NC(=O)CN2CCCCC2)n1,9.9
CN(C)CC/C=C1\c2ccccc2COc2ccccc21,8.7
CN(C)CCC(c1ccc(Br)cc1)c1ccccn1,10.1
CN(C)CCC=C1c2ccccc2C=Cc2ccccc21,8.24
CN(C)CCC=C1c2ccccc2CCc2ccccc21,8.2
CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21,9.1
CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,9.2
CN(C)CCNC(=O)c1cc(-c2ccccc2)nc2ccccc12,8.3
CN/C(=C/[N+](=O)[O-])NCCSCc1ccc(CN(C)C)o1,9.6
CN1CCCCC1CCN1c2ccccc2Sc2ccc(S(C)=O)cc21,9.5
CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1,7.8
CN1CCN(C2=Nc3ccccc3Oc3ccc(Cl)cc32)CC1,7.5
CNC1CCC(c2ccc(Cl)c(Cl)c2)c2ccccc21,8.0
CNCCCN1c2ccccc2CCc2ccccc21,10.2
COc1cc(CN2CCC3(C=Cc4ccccc43)CC2)cc(OC)c1OC,8.4
COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2,9.0
COc1ccc2nc(-c3ccccc3)cc(N)c2c1,8.7
COc1ccc2nc(NC(=O)CN3CC4CC(C3)c3cccc(=O)n3C4)sc2c1,10.0
COc1ccc2nc(NC(=O)CN3CCCCC3)sc2c1,10.0
C1CN1,8.0
CCN,10.7
CN1CC1,7.9
C1CNC1,11.3
CN(C)C,9.8
CCNC,10.9
NCCF,9.0
C1CCNC1,11.3
CCN(C)C,10.2
CCCCN,10.7
NCC(=O)O,9.8
NCCCF,9.9
NCC(F)F,7.3
CN(C)CC#N,4.2
C1CCNCC1,11.1
CN1CCCC1,10.3
C1COCCN1,8.5
CCN(C)CC,10.5
CCCN(C)C,10.2
NCCC(=O)O,10.2
FC1CCNC1,9.4
CN(C)CCO,9.0
CN(C)CCC#N,7.0
NCC(F)(F)F,5.7
C1CCCNCC1,11.1
CN1CCCCC1,10.1
CN1CCOCC1,7.4
CCN(CC)CC,10.9
CCCCN(C)C,10.2
CCOC(=O)CN,7.6
NCCCC(=O)O,10.6
FC1CCNCC1,9.4
FC1CCCNC1,9.3
CN(C)CCCO,9.3
COCCN(C)C,9.0
C1CSCCN1,9.0
FC1(F)CCNC1,7.5
CN(C)CCCC#N,8.7
NCCC(F)(F)F,8.7
CNCC(F)(F)F,6.1
CN1CCCCCC1,10.3
N#CC1CC(F)CN1,4.0
CC(=O)CCN(C)C,8.4
CCOC(=O)CCN,9.1
COCCCN(C)C,9.4
FC1(F)CCNCC1,8.5
FC1(F)CCCNC1,7.4
CC1CCN2CCCC12,11.4
CN(C)CCCCC#N,9.5
NCCCC(F)(F)F,9.7
CN(C)CC(F)(F)F,4.8
CCCN1CCCCC1,10.5
CC(=O)N1CCNCC1,7.9
CC(=O)CCCN(C)C,9.1
CC(=O)OCCN(C)C,8.4
CCOC(=O)CCCN,9.7
O=S1(=O)CCNCC1,5.4
CC(=O)CC1CCCCN1,9.5
CC1(C)CCCC(C)(C)N1,11.1
CC(=O)CCCCN(C)C,9.6
CC(=O)OCCCN(C)C,9.0
CCOC(=O)CCCCN,10.5
CCCNCc1ccccc1,9.6
NCCSc1ccccc1,9.0
CC1(C)CC(=O)CC(C)(C)N1,7.9
CCOC(=O)N1CCNCC1,8.2
CC(=O)OCCCCN(C)C,9.4
CCOC(=O)CCCCCN,10.3
c1ccc(N2CCNCC2)cc1,9.0
c1ccc(N2CCNCC2)nc1,8.9
c1cnc(N2CCNCC2)nc1,8.9
NCCCSc1ccccc1,9.9
Cc1cccc(C)c1NC(=O)CN,7.7
NCCCCSc1ccccc1,10.4
NCCS(=O)(=O)c1ccccc1,7.8
CN(C)CCNC(=O)c1ccccc1,8.5
Cc1cccc(C)c1NC(=O)CCN,8.8
F[C@H]1CNCC[C@H]1Cc1ccccc1,9.3
F[C@@H]1CNCC[C@H]1Cc1ccccc1,8.8
NCCCCCSc1ccccc1,10.5
OC(CN1CCCCC1)C(F)(F)F,8.1
NCCCS(=O)(=O)c1ccccc1,9.2
NCCNS(=O)(=O)c1ccccc1,9.0
CN(C)CCCNC(=O)c1ccccc1,9.3
Cc1cccc(C)c1NC(=O)CCCN,9.4
CN(C)CCCCSc1ccccc1,9.8
NCCCCS(=O)(=O)c1ccccc1,10.0
OC(CNCc1ccccc1)C(F)(F)F,7.3
Cc1cccc(C)c1NC(=O)CCCCN,9.8
CN(C)CCCCS(=O)c1ccccc1,9.4
NCCCCCS(=O)(=O)c1ccccc1,10.4
Cc1ccc(S(=O)(=O)NCCCN)cc1,9.9
CN(C)CCCCc1ccc(C(C)(C)C)cc1,9.9
Cc1cccc(C)c1NC(=O)CCCCCN,10.1
Cc1ccc(S(=O)(=O)N2CCNCC2)cc1,7.4
CN(C)CCCCS(=O)(=O)c1ccccc1,9.3
CN(C)CCCC(C)(C)c1ccc(C(C)(C)C)cc1,9.8
CN(C)C(C)(C)CCCc1ccc(C(C)(C)C)cc1,10.4
CN(C)CC(C)(C)CCc1ccc(C(C)(C)C)cc1,9.4
O=C1[C@@H]2CN3CCC[C@H]3[C@@H]2C(=O)N1Cc1ccc(F)cc1,7.0
CCOC(=O)[C@@H]1CN(Cc2ccccc2)C[C@@H]1C(F)(F)F,5.4
CCOC(=O)[C@@H]1CN(Cc2ccccc2)CC1C(F)(F)F,5.4
O=S(=O)(CCN1CCC(Cc2ccccc2)CC1)c1ccc(O)cc1,6.8
O=C1[C@H]2[C@@H](C(=O)N1Cc1ccc(F)cc1)[C@@H]1CCCN1[C@H]2c1ccccc1,5.6
O=C1[C@@H]2[C@@H](c3ccccc3)N3CCC[C@@H]3[C@@H]2C(=O)N1Cc1ccc(F)cc1,5.9
O=S(=O)(CCN1CC[C@H](Cc2ccccc2)[C@H](O)C1)c1ccc(O)cc1,6.5
O=S(=O)(CCN1CC[C@H](Cc2ccccc2)[C@@H](O)C1)c1ccc(O)cc1,5.6
N#Cc1ccc([C@H]2[C@H]3C(=O)N(CC4=CCC(F)C=C4)C(=O)[C@H]3[C@@H]3CCCN32)cc1,4.5
c1ccc(CC2CCN(CCCc3c[nH]c4ccc(-n5cnnc5)cc34)CC2)cc1,9.7
COc1ccc(CN2C(=O)[C@H]3[C@@H](C2=O)[C@@H]2CCCN2[C@H]3c2ccc(C#N)cc2)cc1,4.6
N#Cc1ccc([C@H]2[C@H]3C(=O)N(Cc4ccc(F)cc4)C(=O)[C@H]3[C@@H]3C(=O)CCN23)cc1,3.0
N#Cc1ccc([C@H]2[C@H]3C(=O)N(Cc4ccc(F)cc4)C(=O)[C@H]3[C@@H]3C[C@H](O)CN32)cc1,3.8
N#Cc1ccc([C@H]2[C@H]3C(=O)N(Cc4ccc(F)cc4)C(=O)[C@H]3[C@@H]3C[C@@H](O)CN32)cc1,3.7
N#Cc1ccc([C@H]2[C@H]3C(=O)N(Cc4ccc(F)cc4)C(=O)[C@H]3[C@@H]3[C@H](O)CCN23)cc1,4.2
N=C(N)c1ccc([C@H]2[C@H]3C(=O)N(Cc4ccc(F)cc4)C(=O)[C@H]3[C@@H]3CCCN32)cc1,4.5
N#Cc1ccc([C@H]2[C@H]3C(=O)N(Cc4ccc(F)cc4)C(=O)[C@H]3[C@@H]3CCCN32)cc1F,4.1
N#Cc1ccc([C@H]2[C@H]3C(=O)N(Cc4ccc(F)cc4)C(=O)[C@H]3[C@@H]3CCCN32)c(F)c1,4.2
N#Cc1ccc([C@H]2[C@H]3C(O)N(Cc4ccc(F)cc4)C(=O)[C@H]3[C@@H]3C[C@H](F)CN32)cc1,3.1
N#CC1=CCC([C@H]2[C@H]3C(O)N(Cc4ccc(F)cc4)C(=O)[C@H]3[C@@H]3[C@@H](F)CCN23)C=C1,3.3
N#CC1=CCC([C@H]2[C@H]3C(O)N(Cc4ccc(F)cc4)C(=O)[C@H]3[C@@H]3[C@H](F)CCN23)C=C1,3.3
FC1(Cc2ccccc2)CCN(CCCc2c[nH]c3ccc(-n4cnnc4)cc23)CC1,8.8
FC(Cc1c[nH]c2ccc(-n3cnnc3)cc12)CN1CCC(Cc2ccccc2)CC1,8.7
C=C[C@@H]1[C@@H]2[C@H](C(=O)N1Cc1ccc(F)cc1)[C@H](c1ccc(C(=N)N)cc1)N1CCC[C@@H]21,6.0
CO[C@H]1C[C@H]2[C@@H]3C(=O)N(Cc4ccc(F)cc4)C(=O)[C@@H]3[C@H](c3ccc(C#N)cc3)N2C1,3.6
CO[C@@H]1CCN2[C@@H](c3ccc(C#N)cc3)[C@H]3C(=O)N(Cc4ccc(F)cc4)C(=O)[C@H]3[C@H]12,4.2
CC[C@@H]1[C@@H]2[C@H](C(=O)N1Cc1ccc(F)cc1)[C@H](c1ccc(C(=N)N)cc1)N1CCC[C@@H]21,6.3
N=C(N)c1ccc([C@H]2[C@H]3C(=O)N(Cc4ccc(F)cc4)C(=O)[C@H]3[C@H]3[C@H](O)CCN32)cc1,4.1
N=C(N)c1ccc([C@H]2[C@H]3C(=O)N(Cc4ccc(F)cc4)C(=O)[C@H]3[C@H]3[C@@H](O)CCN32)cc1,4.2
N=C(N)c1ccc([C@H]2[C@H]3C(=O)N(Cc4ccc(F)cc4)C(=O)[C@H]3[C@H]3C[C@@H](O)CN23)cc1,3.9
N=C(N)c1ccc([C@H]2[C@H]3C(=O)N(Cc4ccc(F)cc4)C(=O)[C@H]3[C@H]3C[C@H](O)CN23)cc1,3.9
N=C(N)c1ccc([C@H]2[C@H]3C(=O)N(Cc4ccc(F)cc4)C(=O)[C@H]3[C@@H]3CCCN32)cc1F,4.2
N=C(N)c1ccc([C@H]2[C@H]3C(=O)N(Cc4ccc(F)cc4)C(=O)[C@H]3[C@@H]3CCCN32)c(F)c1,4.1
N=C(N)c1ccc([C@H]2[C@H]3C(=O)N(Cc4ccc(F)cc4)C(=O)[C@H]3[C@H]3[C@H](F)CCN32)cc1,3.4
N=C(N)c1ccc([C@H]2[C@H]3C(=O)N(Cc4ccc(F)cc4)C(=O)[C@H]3[C@H]3[C@@H](F)CCN32)cc1,3.3
N=C(N)c1ccc([C@H]2[C@H]3C(=O)N(Cc4ccc(F)cc4)C(=O)[C@H]3[C@H]3C[C@@H](F)CN23)cc1,3.3
N=C(N)c1ccc([C@H]2[C@H]3C(=O)N(Cc4ccc(F)cc4)C(=O)[C@H]3[C@H]3C[C@H](F)CN23)cc1,3.3
N=C(N)c1ccc([C@H]2[C@H]3C(=O)N(Cc4ccc(F)cc4)[C@H](CF)[C@H]3[C@@H]3CCCN32)cc1,6.0
O=C1[C@H]2[C@@H](C(=O)N1Cc1ccccc1)[C@@H]1CCCN1[C@H]2c1ccc(Br)cc1,5.2
N#Cc1ccc([C@H]2[C@H]3C(=O)N(Cc4ccc(F)cc4)C(=O)[C@H]3[C@@H]3CCCN32)c(F)c1F,3.6
N#Cc1c(F)cc([C@H]2[C@H]3C(=O)N(Cc4ccc(F)cc4)C(=O)[C@H]3[C@@H]3CCCN32)cc1F,3.6
N#Cc1cc(F)c([C@H]2[C@H]3C(=O)N(Cc4ccc(F)cc4)C(=O)[C@H]3[C@@H]3CCCN32)c(F)c1,4.4
N#Cc1ccc([C@H]2[C@H]3C(O)N(Cc4ccc(F)cc4)C(=O)[C@H]3[C@@H]3CC(F)(F)CN32)cc1,2.0
N#CC1=CCC([C@H]2[C@H]3C(O)N(Cc4ccc(F)cc4)C(=O)[C@H]3[C@H]3N2CCC3(F)F)C=C1,2.0
C=CC[C@@H]1[C@@H]2[C@H](C(=O)N1Cc1ccc(F)cc1)[C@H](c1ccc(C(=N)N)cc1)N1CCC[C@@H]21,6.2
CC(C)[C@@H]1[C@@H]2[C@H](C(=O)N1Cc1ccc(F)cc1)[C@H](c1ccc(C(=N)N)cc1)N1CCC[C@@H]21,6.5
CCC[C@@H]1[C@@H]2[C@H](C(=O)N1Cc1ccc(F)cc1)[C@H](c1ccc(C(=N)N)cc1)N1CCC[C@@H]21,6.2
FC(F)(Cc1c[nH]c2ccc(-n3cnnc3)cc12)CN1CCC(Cc2ccccc2)CC1,6.7
CO[C@@H]1CCN2[C@H]1[C@@H]1C(=O)N(Cc3ccc(F)cc3)C(=O)[C@@H]1[C@@H]2c1ccc(C(=N)N)cc1,3.7
CO[C@H]1CCN2[C@H]1[C@@H]1C(=O)N(Cc3ccc(F)cc3)C(=O)[C@@H]1[C@@H]2c1ccc(C(=N)N)cc1,4.2
CO[C@@H]1C[C@@H]2[C@@H]3C(=O)N(Cc4ccc(F)cc4)C(=O)[C@@H]3[C@H](c3ccc(C(=N)N)cc3)N2C1,3.6
CO[C@H]1C[C@@H]2[C@@H]3C(=O)N(Cc4ccc(F)cc4)C(=O)[C@@H]3[C@H](c3ccc(C(=N)N)cc3)N2C1,3.7
CC(C)[C@@H]1C2[C@H](C(=O)N1CC1=CCC(Cl)C=C1)[C@H](C1C=CC(C#N)=CC1)N1CCC[C@@H]21,6.0
N=C(N)c1ccc([C@H]2[C@H]3C(=O)N(Cc4ccc(F)cc4)[C@H](CCF)[C@H]3[C@@H]3CCCN32)cc1,6.1
N=C(N)c1cc(F)c([C@H]2[C@H]3C(=O)N(Cc4ccc(F)cc4)C(=O)[C@H]3[C@@H]3CCCN32)c(F)c1,4.2
N=C(N)c1ccc([C@H]2[C@H]3C(=O)N(Cc4ccc(F)cc4)C(=O)[C@H]3[C@@H]3CCCN32)c(F)c1F,3.7
